"","car_brand","car_model","car_name","production_year","body_type","drive_wheels","engine_displacement","number_of_cylinders","transmission_type","horse_power","fuel_type","seat_capacity","price_new"
"1","LEXUS","RX 450","LEXUS RX 450",2010,"SUV","AWD",3.5,6,"automatic",262,"hybrid",5,45540
"2","CHEVROLET","Equinox","CHEVROLET Equinox",2011,"SUV","AWD",3,6,"tiptronic",225,"petrol",5,42864
"3","HONDA","FIT","HONDA FIT",2006,"Hatchback","FWD",1.3,4,"variator",98,"petrol",5,24752
"4","FORD","Escape","FORD Escape",2011,"SUV","AWD",2.5,4,"automatic",188,"hybrid",5,40584
"5","HONDA","FIT","HONDA FIT",2014,"Hatchback","FWD",1.3,4,"automatic",98,"petrol",5,23088
"6","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"7","TOYOTA","Prius","TOYOTA Prius",2010,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,26220
"8","HYUNDAI","Sonata","HYUNDAI Sonata",2013,"Sedan","FWD",2.4,4,"automatic",180,"petrol",5,32704
"9","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,32856
"10","LEXUS","RX 350","LEXUS RX 350",2007,"SUV","AWD",3.5,6,"automatic",262,"petrol",5,46728
"11","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2014,"Sedan","RWD",3.5,6,"automatic",262,"diesel",5,37296
"12","FORD","Transit","FORD Transit",1999,"Minivan","RWD",4,8,"manual",300,"cng",5,49896
"13","OPEL","Vectra","OPEL Vectra",1997,"Sedan","FWD",1.6,4,"manual",120,"cng",5,33280
"14","LEXUS","RX 450","LEXUS RX 450",2013,"SUV","FWD",3.5,6,"automatic",262,"hybrid",5,44352
"15","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"16","TOYOTA","CHR","TOYOTA CHR",2018,"SUV","FWD",2,4,"automatic",150,"petrol",5,35952
"17","HYUNDAI","Elantra","HYUNDAI Elantra",2016,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,29212
"18","HYUNDAI","Elantra","HYUNDAI Elantra",2016,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,29212
"19","HYUNDAI","Sonata","HYUNDAI Sonata",2006,"Sedan","RWD",3.3,6,"automatic",248,"petrol",5,39032
"20","LEXUS","RX 400","LEXUS RX 400",2008,"SUV","AWD",3.5,6,"automatic",262,"hybrid",5,46332
"21","HYUNDAI","Elantra","HYUNDAI Elantra",2012,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29380
"22","TOYOTA","Prius","TOYOTA Prius",2012,"Sedan","FWD",1.8,4,"automatic",135,"plug-in hybrid",5,30284
"23","TOYOTA","Camry","TOYOTA Camry",2017,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,31968
"24","FORD","Transit","FORD Transit",2001,"Minivan","FWD",2.4,4,"manual",180,"diesel",5,37200
"25","OPEL","Vectra","OPEL Vectra",1995,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,34840
"26","MERCEDES-BENZ","E 220","MERCEDES-BENZ E 220",2006,"Sedan","RWD",2,4,"tiptronic",150,"diesel",5,30940
"27","LEXUS","GX 470","LEXUS GX 470",2008,"SUV","AWD",4.7,8,"automatic",352,"petrol",5,51948
"28","TOYOTA","Prius","TOYOTA Prius",2008,"Sedan","FWD",1.5,4,"automatic",112,"hybrid",5,29952
"29","HYUNDAI","Elantra","HYUNDAI Elantra",2011,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29640
"30","TOYOTA","Highlander","TOYOTA Highlander",2009,"SUV","AWD",3.3,6,"automatic",248,"hybrid",5,45008
"31","MERCEDES-BENZ","Vito","MERCEDES-BENZ Vito",2007,"Sedan","RWD",2,6,"manual",150,"diesel",5,30680
"32","PORSCHE","Cayenne","PORSCHE Cayenne",2014,"SUV","AWD",3,6,"automatic",225,"diesel",5,41736
"33","BMW","X5","BMW X5",2000,"SUV","AWD",4.4,8,"automatic",330,"cng",5,54000
"34","TOYOTA","Highlander","TOYOTA Highlander",2008,"Sedan","AWD",3.3,6,"automatic",248,"hybrid",5,38376
"35","JEEP","Grand Cherokee","JEEP Grand Cherokee",2007,"SUV","AWD",2.5,6,"tiptronic",188,"diesel",5,37760
"36","HYUNDAI","Santa FE","HYUNDAI Santa FE",2011,"SUV","FWD",2,4,"automatic",150,"diesel",5,38304
"37","TOYOTA","CHR Limited","TOYOTA CHR Limited",2019,"SUV","FWD",2,4,"tiptronic",150,"petrol",5,35616
