_id,body_type,car_brand,car_model,car_name,drive_wheels,engine_displacement,fuel_type,general_rating,horse_power,number_of_cylinders,number_of_reviews,price_new,production_year,seat_capacity,transmission_type,views
69749ca138d4f6af0d04b035,SUV,LEXUS,RX 450,LEXUS RX 450,AWD,3.5,hybrid,3.8,262,6,132,45540,2009,5,automatic,2200
69749ca138d4f6af0d04b036,SUV,CHEVROLET,Equinox,CHEVROLET Equinox,AWD,3,petrol,3.4,225,6,884,42864,2010,5,tiptronic,2142
69749ca138d4f6af0d04b037,Hatchback,HONDA,FIT,HONDA FIT,FWD,1.3,petrol,2.8,98,4,716,24752,2005,5,variator,1870
69749ca138d4f6af0d04b038,SUV,FORD,Escape,FORD Escape,AWD,2.5,hybrid,3.4,188,4,64,40584,2010,5,automatic,8922
69749ca138d4f6af0d04b03a,SUV,HYUNDAI,Santa FE,HYUNDAI Santa FE,FWD,2,diesel,3.3,150,4,366,36624,2015,5,automatic,4927
69749ca138d4f6af0d04b03b,Hatchback,TOYOTA,Prius,TOYOTA Prius,FWD,1.8,hybrid,3.3,135,4,981,26220,2009,5,automatic,3047
69749ca138d4f6af0d04b03c,Sedan,HYUNDAI,Sonata,HYUNDAI Sonata,FWD,2.4,petrol,3.4,180,4,957,32704,2012,5,automatic,2454
69749ca138d4f6af0d04b03d,Sedan,TOYOTA,Camry,TOYOTA Camry,FWD,2.5,hybrid,3.4,188,4,890,32856,2013,5,automatic,596
69749ca138d4f6af0d04b03e,SUV,LEXUS,RX 350,LEXUS RX 350,AWD,3.5,petrol,3.7,262,6,827,46728,2006,5,automatic,3779
69749ca138d4f6af0d04b03f,Sedan,MERCEDES-BENZ,E 350,MERCEDES-BENZ E 350,RWD,3.5,diesel,3.6,262,6,916,37296,2013,5,automatic,3710
69749ca138d4f6af0d04b040,Minivan,FORD,Transit,FORD Transit,RWD,4,cng,2.9,300,8,674,49896,1998,5,manual,2712
69749ca138d4f6af0d04b041,Sedan,OPEL,Vectra,OPEL Vectra,FWD,1.6,cng,2.8,120,4,286,33280,1996,5,manual,1418
69749ca138d4f6af0d04b044,SUV,TOYOTA,CHR,TOYOTA CHR,FWD,2,petrol,3.5,150,4,472,35952,2017,5,automatic,1436
69749ca138d4f6af0d04b045,Sedan,HYUNDAI,Elantra,HYUNDAI Elantra,FWD,1.8,petrol,3.3,135,4,321,29212,2015,5,automatic,1521
69749ca138d4f6af0d04b048,SUV,LEXUS,RX 400,LEXUS RX 400,AWD,3.5,hybrid,3.7,262,6,612,46332,2007,5,automatic,2664
69749ca138d4f6af0d04b04e,Sedan,MERCEDES-BENZ,E 220,MERCEDES-BENZ E 220,RWD,2,diesel,4.1,150,4,640,30940,2005,5,tiptronic,11577
69749ca138d4f6af0d04b04f,SUV,LEXUS,GX 470,LEXUS GX 470,AWD,4.7,petrol,3.6,352,8,880,51948,2007,5,automatic,5357
69749ca138d4f6af0d04b052,SUV,TOYOTA,Highlander,TOYOTA Highlander,AWD,3.3,hybrid,3.7,248,6,933,45008,2008,5,automatic,2349
69749ca138d4f6af0d04b053,Sedan,MERCEDES-BENZ,Vito,MERCEDES-BENZ Vito,RWD,2,diesel,3.6,150,6,198,30680,2006,5,manual,1269
69749ca138d4f6af0d04b054,SUV,PORSCHE,Cayenne,PORSCHE Cayenne,AWD,3,diesel,3.8,225,6,209,41736,2013,5,automatic,1340
69749ca138d4f6af0d04b055,SUV,BMW,X5,BMW X5,AWD,4.4,cng,3.7,330,8,887,54000,1999,5,automatic,3202
69749ca138d4f6af0d04b057,SUV,JEEP,Grand Cherokee,JEEP Grand Cherokee,AWD,2.5,diesel,4.4,188,6,555,37760,2006,5,tiptronic,1990
69749ca138d4f6af0d04b059,SUV,TOYOTA,CHR Limited,TOYOTA CHR Limited,FWD,2,petrol,3.3,150,4,426,35616,2018,5,tiptronic,5465
69749ca138d4f6af0d04b05e,Wagon,HYUNDAI,H1,HYUNDAI H1,FWD,2.5,diesel,3.2,188,4,666,31174,2015,5,automatic,2142
69749ca138d4f6af0d04b05f,Sedan,VOLKSWAGEN,Jetta,VOLKSWAGEN Jetta,FWD,2,petrol,4.1,150,4,420,28340,2015,5,tiptronic,5436
69749ca138d4f6af0d04b062,SUV,TOYOTA,Tacoma,TOYOTA Tacoma,AWD,4,petrol,3.8,300,6,702,46592,2012,5,automatic,2526
69749ca138d4f6af0d04b063,Hatchback,TOYOTA,Prius C,TOYOTA Prius C,FWD,1.5,hybrid,2.9,112,4,976,24408,2011,5,variator,2804
69749ca138d4f6af0d04b065,Hatchback,TOYOTA,Aqua,TOYOTA Aqua,FWD,1.5,hybrid,3.1,112,4,625,24408,2011,5,automatic,14917
69749ca138d4f6af0d04b066,SUV,FORD,Escape Hybrid,FORD Escape Hybrid,AWD,2.3,hybrid,3.3,172,4,242,40716,2007,5,variator,1100
69749ca138d4f6af0d04b067,Sedan,HONDA,Civic,HONDA Civic,FWD,2,petrol,3.2,150,4,884,30084,2015,5,automatic,1994
69749ca138d4f6af0d04b068,SUV,AUDI,Q7,AUDI Q7,AWD,3,petrol,3.5,225,6,124,41360,2014,5,automatic,4242
69749ca138d4f6af0d04b069,Sedan,RENAULT,Megane 1.5CDI,RENAULT Megane 1.5CDI,FWD,2,diesel,3.5,150,4,446,30420,2007,5,manual,1548
69749ca138d4f6af0d04b06a,Sedan,MERCEDES-BENZ,E 300,MERCEDES-BENZ E 300,RWD,2,petrol,3.5,150,4,421,29808,2016,5,automatic,1825
69749ca138d4f6af0d04b06b,SUV,AUDI,Q5,AUDI Q5,AWD,2,petrol,3.5,150,1,591,37296,2013,5,tiptronic,3321
69749ca138d4f6af0d04b06c,Coupe,MERCEDES-BENZ,C 180,MERCEDES-BENZ C 180,RWD,2,petrol,2.7,150,4,841,36704,2000,4,manual,12914
69749ca138d4f6af0d04b06d,SUV,MERCEDES-BENZ,GLA 250,MERCEDES-BENZ GLA 250,AWD,2.5,petrol,4.4,188,4,181,33920,2018,5,tiptronic,1858
69749ca138d4f6af0d04b06e,SUV,NISSAN,Juke,NISSAN Juke,AWD,1.6,petrol,3.4,120,4,729,35200,2014,5,automatic,1087
69749ca138d4f6af0d04b06f,Sedan,BMW,535,BMW 535,RWD,3,petrol,3.5,225,6,766,35708,2011,5,automatic,1863
69749ca138d4f6af0d04b070,Sedan,CHEVROLET,Cruze LT,CHEVROLET Cruze LT,FWD,2,petrol,3.7,150,4,753,27820,2017,5,automatic,4603
69749ca138d4f6af0d04b071,Sedan,FORD,Fusion,FORD Fusion,FWD,2,petrol,3.8,150,4,827,29120,2012,5,tiptronic,4172
69749ca138d4f6af0d04b072,Minivan,TOYOTA,VOXY,TOYOTA VOXY,FWD,2.4,petrol,3.2,180,4,941,39176,2006,5,automatic,1792
69749ca138d4f6af0d04b074,Sedan,MERCEDES-BENZ,A 160,MERCEDES-BENZ A 160,FWD,1.6,petrol,3,120,4,901,31460,2003,5,tiptronic,7972
69749ca138d4f6af0d04b075,SUV,HYUNDAI,Tucson,HYUNDAI Tucson,FWD,2,diesel,3.3,150,4,656,37632,2012,5,automatic,1088
69749ca138d4f6af0d04b07a,Hatchback,TOYOTA,Vitz,TOYOTA Vitz,FWD,1.5,petrol,2.7,112,4,360,26784,2000,5,manual,5252
